date,location,Zip Code,state,year,fatalities,injured,totalvictims,percfatal,venue,priorsignsofpossiblementalillnes,weaponsobtainedlegally,race,gender,age,legalgun,handguns,revolvers,shotguns,assaultguns,religious,school,workplace,poss_mental,minority,ar_ban,bradybill,depmed,offdepmed,med,reasonmed,onoroff,timeonmed,arrested,suicide,police,highcapacityclip,deathpenalty,statepermittopurchase,firearmregistration,assaultweaponlaw,ownerlicenserequired,concealedcarryweaponccwpermitsis,opencarry,nfaweaponsrestricted,peaceablejourneylaws,castledoctrinestandyourground,gunswithhighcapacitymagizines,assaultweaponsbydefinitionofnewl,Type
19991102,"Honolulu, Hawaii",,HI,1999,7,0,7,1,Work,Yes,Yes,Asian,Male,40,1,1,0,0,0,0,0,1,1,1,1,1,0,0,None,None,None,None,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,Mass
19990915,"Fort Worth, Texas",,TX,1999,8,7,15,0.53329998,Religious,Yes,Yes,white,Male,47,1,2,0,0,0,1,0,0,1,0,0,1,0,0,None,None,None,None,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,Mass
19990729,"Atlanta, Georgia",,GA,1999,9,13,22,0.4091,Work,Yes,Yes,white,Male,44,1,3,1,0,0,0,0,1,1,0,0,1,0,0,None,None,None,None,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,Spree
19990420,"Littleton, Colorado",,CO,1999,15,24,39,0.38460001,School,Yes,No,white,Male,18,0,1,0,2,1,0,1,0,1,0,0,1,1,1,Luvox/Zoloft,Depression,On,Month,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,2,Mass
19980521,"Springfield, Oregon",,OR,1998,4,25,29,0.13789999,School,Yes,No,white,Male,15,0,2,0,0,1,0,1,0,1,0,0,1,0,1,None,Depression,None,None,0,0,1,1,1,0,0,0,0,1,1,0,1,1,2,0,Spree
19980324,"Jonesboro, Arkansas",,AR,1998,5,10,15,0.33329999,School,No,No,white,Male,13,0,2,5,0,2,0,1,0,0,0,0,1,0,0,None,None,None,None,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,Mass
19980306,"Newington, Connecticut",,CT,1998,5,1,6,0.83329999,Work,Yes,Yes,white,Male,35,1,1,0,0,0,0,0,1,1,0,1,1,1,1,Zoloft,Depression,Off,Month,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,Mass
19971218,"Orange, California",,CA,1997,5,2,7,0.71429998,Work,No,Yes,Latino,Male,41,1,0,0,0,1,0,0,1,0,1,1,1,0,0,None,None,None,None,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,Mass
19970915,"Aiken, South Carolina",,SC,1997,4,3,7,0.57139999,Work,No,No,black,Male,43,0,1,0,0,0,0,0,1,0,1,0,1,0,0,None,None,None,None,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,Mass
19960209,"Fort Lauderdale, Florida",,FL,1996,6,1,7,0.85710001,Work,Yes,Yes,black,Male,41,1,1,1,0,0,0,0,1,1,1,0,1,0,0,None,None,None,None,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Mass
19950403,"Corpus Christi, Texas",,TX,1995,6,0,6,1,Work,No,Yes,Other,Male,28,1,1,1,0,0,0,0,1,0,1,0,1,0,0,None,None,None,None,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,Mass
19940620,"Fairchild Air Force Base, Washington",,WA,1994,5,23,28,0.1786,Other,Yes,Yes,white,Male,20,1,0,0,0,1,0,0,0,1,0,0,1,1,1,Prozac,Depression,Off,Month,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,Mass
19931214,"Aurora, Colorado",,CO,1993,4,1,5,0.80000001,Work,no,yes,black,Male,19,0,1,0,0,0,0,0,1,0,1,0,0,0,0,None,None,None,None,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,Mass
19931207,"Garden City, New York",,NY,1993,6,19,25,0.23999999,Other,Yes,Yes,black,Male,35,1,1,0,0,0,0,0,0,1,1,1,0,0,0,None,None,None,None,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,Mass
19930806,"Fayetteville, North Carolina",,NC,1993,4,8,12,0.33329999,Other,No,Yes,white,Male,22,1,0,0,2,1,0,0,0,0,0,0,0,0,0,None,None,None,None,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,Mass
19930701,"San Francisco, California",,CA,1993,9,6,15,0.60000002,Other,No,No,white,Male,55,0,3,0,0,0,0,0,0,0,0,1,0,0,0,None,None,None,None,0,1,0,1,1,1,1,1,0,1,0,1,0,1,3,2,Mass
19921015,"Watkins Glen, New York",,NY,1992,5,0,5,1,Other,Yes,Yes,white,Male,50,1,1,0,0,0,0,0,0,1,0,1,0,0,0,None,None,None,None,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,Mass
19920501,"Olivehurst, California",,CA,1992,4,10,14,0.28569999,School,No,Yes,white,Male,20,1,0,0,1,1,0,1,0,0,0,1,0,1,1,Prozac,Depression,Off,2 weeks,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,Mass
19911114,"Royal Oak, Michigan",,MI,1991,5,5,10,0.5,Work,Yes,Yes,white,Male,31,1,0,0,0,1,0,0,1,1,0,0,0,0,0,None,None,None,None,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,Mass
19911101,"Iowa City, Iowa",,IA,1991,6,1,7,0.85710001,School,Yes,Yes,Asian,Male,28,1,0,1,0,0,0,1,0,0,1,0,0,0,0,None,None,None,None,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,Mass
19911016,"Killeen, Texas",,TX,1991,24,20,44,0.54549998,Other,No,Yes,white,Male,35,1,2,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None,0,1,0,0,1,0,0,0,0,1,1,0,1,0,2,0,Mass
19900618,"Jacksonville, Florida",,FL,1990,10,4,14,0.71429998,Other,No,Yes,black,Male,42,1,0,1,0,1,0,0,0,0,1,0,0,0,0,None,None,None,None,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,Mass
19890914,"Louisville, Kentucky",,KY,1989,9,12,21,0.42860001,Work,Yes,Yes,white,Male,47,1,3,1,0,1,0,0,1,1,0,0,0,1,1,Prozac,Depression,Off,Month,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,3,Mass
19890117,"Stockton, California",,CA,1989,6,29,35,0.1714,School,Yes,Yes,white,Male,26,1,1,0,0,1,0,1,0,1,0,1,0,0,0,None,None,None,None,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,Mass
19880216,"Sunnyvale, California",,CA,1988,7,4,11,0.63639998,Work,Yes,Yes,white,Male,39,1,2,2,2,1,0,0,1,1,0,0,0,0,0,None,None,None,None,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,Mass
19870423,"Palm Bay, Florida",,FL,1987,6,14,20,0.30000001,Other,Yes,Yes,white,Male,59,1,0,1,1,1,0,0,0,1,0,0,0,0,0,None,None,None,None,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,Spree
19860820,"Edmond, Oklahoma",,OK,1986,15,6,21,0.71429998,Work,Yes,Yes,white,Male,44,1,3,0,0,0,0,0,1,0,0,0,0,1,1,Prozac/Zoloft,Depression,Off,Month,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,Mass
19840718,"San Ysidro, California",,CA,1984,22,19,41,0.53659999,Other,Yes,Yes,white,Male,41,1,1,0,1,1,0,0,0,1,0,0,0,0,0,None,None,None,None,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,Mass
19840629,"Dallas, Texas",,TX,1984,6,1,7,0.85710001,Other,Yes,No,white,Male,39,0,1,0,0,0,0,0,0,1,0,0,0,0,0,None,None,None,None,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,Mass
19820820,"Miami, Florida",,FL,1982,8,3,11,0.72729999,Other,Yes,Yes,white,Male,51,1,0,0,1,0,0,0,0,1,0,0,0,0,0,None,None,None,None,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,Mass
